Trust_Code;Trust_Name;Expected;Final;Completion;Cleaned;Service_User_Survey;Therapist Questionnaire;18-25;26-35;36-45;46-55;56-65;>65;Male;Female;Nonbinary_other;Unknown_not_documented;White;Mixed;Asian;Black;Other;Ethnicity_Unknown;Declined;Employed_less_than_16 hrs;Employed_16+;Homemaker;Long_term_sick;No_benefits_or_work;Retired;Student;Unemployed_seeking work;Unpaid_voluntary;Declined4;Employment_Unknown;Mainstream_housing;Criminal_Justice;Housing_with_mental_health ;Other_care_support;Acute_long stay;Homeless;Sheltered;Other5;Declined_to_answer;Accom_Unknown_not doc;Sexual_orientation_recorded;Heterosexual;Gay_lesbian;Bisexual;Other;Sexual_orien_Unknown_not_documented;Sexual Orien Declined to answer;Behavioural and emotional disability;Progressive conditions and physical health ;Mobility and gross motor disability ;Memory, ability to learn, concentrate or understand;Personal, self-care and continence;Hearing_disability;Sight_disability ;Manual dexterity;Perception_of_physical_danger;Speech_disability ;Other;Bipolar_problem;BDD_problem;Depression_problem;Eating_disorder_problem;GAD;Mixed a&D_problem;OCD_problem;PanicDisorder_problem;PD_problem;PTSD_problem;Specific_phobia_problem;Socialphob_problem;Other Anx_problem;Otherdiag_problem;Unknown_problem;Depressive_episode (F32);"Recurrent depressive disorder (F33); persistent mood [affective] disorders (F34); other mood [affective] disorders (F38, F39)";"Phobic_anxiety disorders (F40); other anxiety disorders (F41); obsessive-compulsive disorder (F42)";Reaction_to_severe_stress_and_adjustment_disordersF43;Disorders of adult personality and behaviour (F60-69)?;Behavioural syndromes associated with physiological disturbances and physical factors (F50 - F59)   ?;Mental and behavioural disorders due to psychoactive substance use (F10-F19)   ?;Bipolar_disorderF31;Other diagnoses not listed above     ?;Unknown/ not documented;Age not doc;Gender not doc;Ethnicity not doc;Accommodation not doc;Employment not doc;Disability not doc;Sexual orientation not doc;Started therapy within 18 weeks;Started therapy btw 19-26 weeks;Started therapy btw 27-52 weeks;Started therapy btw 53-104 weeks;Started therapy 105 weeks plus;% above 18 weeks;Avg wait for therapy (days);;into weeks;% Agree wait time reasonable;% disagree wait time reasonable;% Receiving NICE therapy ;Avg number of sessions;% Agree enough info about therapy;% Disagree enough info about therapy;% Agree where info is kept;% disagreewhere info is kept;Choice Type of therapy  ;Not enough  choice;No choice;Choice venue of therapy;Not enough  choice venue;No choice venue;Choice gender of therapist;Not enough choice gender;No choice gender;Choice of language therapy;Not enough choice language;No choice  language;Appt convenient day/time Agree;Appt convenient day/time Disagree;Appt location difficulty Agree;Appt location difficulty Disagree;Referred therapy right time Agree;Referred therapy right time disagree;Experience empathy Agree;Experience empathy Disagree;Needs taken seriously Agree;Needs taken seriously Disagree;Agreed goals Agree ;Agreed goals Disagree;Discussed previous therapy Agree;Discussed previous therapy Disagree;Discussed overall care Agree;Discussed overall care Disagree;Helped understand difficulties Agree;Helped understand difficulties Disagree;Helped cope with diffculties Agree;Helped cope with diffculties Disagree;Therapy right kind of help Agree;Therapy right kind of help Disagree;Right no. sessions Agreed;Right no. sessions Disagree;Lasting_bad_effects_Agree;Lasting_bad_effect_Disagree;Outcome_measure_used_at_least_once;Outcome measure used more than once;Discussed_progress_with_therapist;Didn’t discuss progress during treatment;therapist agrees supervision received is sufficient;therapist supervises other therapists;therapist trained to supervise others;therapists recieiving individual supervision;therapists receiving group supervision;therapists receiving both supervision;therapists receiving no supervision;therapist1+ therapy type no formal training;therapist_agreeing_that_cpd_is_sufficient
RHA;NOTTINGHAMSHIRE HEALTHCARE NHS FOUNDATION TRUST;87;87;100%;87;7;29;13% (11/87);15% (13/87);21% (18/87);12% (10/87);9% (8/87);31% (27/87);39% (34/87);61% (53/87);0% (0/87);0% (0/87);89% (77/87);2% (2/87);5% (4/87);2% (2/87);0% (0/87);2% (2/87);0% (0/87);0% (0/87);18% (16/87);5% (4/87);10% (9/87);3% (3/87);35% (30/87);9% (8/87);2% (2/87);2% (2/87);0% (0/87);15% (13/87);95% (83/87);0% (0/87);0% (0/87);0% (0/87);0% (0/87);0% (0/87);0% (0/87);0% (0/87);0% (0/87);5% (4/87);25% (22/87);24% (21/87);0% (0/87);0% (0/87);1% (1/87);75% (65/87);0% (0/87);37% (25/67);25% (17/67);6% (4/67);0% (0/67);0% (0/67);3% (2/67);3% (2/67);0% (0/67);0% (0/67);2% (1/67);2% (1/67);0% (0/87);0% (0/87);25% (22/87);0% (0/87);3% (3/87);35% (30/87);9% (8/87);0% (0/87);0% (0/87);6% (5/87);0% (0/87);0% (0/87);5% (4/87);17% (15/87);0% (0/87);8% (7/84);19% (16/84);31% (26/84);1% (1/84);2% (2/84);0% (0/84);0% (0/84);0% (0/84);38% (32/84);3% (3/87);0% (0/87);0% (0/87);2% (2/87);5% (4/87);15% (13/87);35% (30/87);75% (65/87);33% (27/82);7% (6/82);20% (16/82);40% (33/82);0% (0/82);67% (55/82);298;43;43 weeks;43% (3/7);29% (2/7);95% (36/38);19,27;71% (5/7);14% (1/7);57% (4/7);29% (2/7);80% (4/5);0% (0/5);20% (1/5);60% (3/5);0% (0/5);40% (2/5);100% (3/3);0% (0/3);0% (0/3);100% (1/1);0% (0/1);0% (0/1);100% (7/7);0% (0/7);100% (7/7);0% (0/7);86% (6/7);0% (0/7);100% (7/7);0% (0/7);86% (6/7);0% (0/7);86% (6/7);14% (1/7);86% (6/7);14.3% (1/7);86% (6/7);0% (0/7);86% (6/7);14% (1/7);86% (6/7);14% (1/7);86% (6/7);14% (1/7);86% (6/7);14% (1/7);0% (0/7);100% (7/7);50% (43/86);43% (37/87);86% (6/7);14% (1/7);79% (23/29);79% (23/29);83% (19/23);72% (21/29);10% (3/29);17% (5/29);0% (0/29);45% (13/29);55% (16/29)
RJ8;CORNWALL PARTNERSHIP NHS FOUNDATION TRUST;30;30;100%;30;0;2;20% (6/30);30% (9/30);27% (8/30);7% (2/30);10% (3/30);7% (2/30);50% (15/30);50% (15/30);0% (0/30);0% (0/30);87% (26/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);13% (4/30);0% (0/30);0% (0/30);7% (2/30);0% (0/30);37% (11/30);10% (3/30);7% (2/30);3% (1/30);7% (2/30);0% (0/30);0% (0/30);30% (9/30);97% (29/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);3% (1/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);57% (17/30);57% (17/30);0% (0/30);0% (0/30);0% (0/30);43% (13/30);0% (0/30);0% (0/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);7% (2/30);0% (0/30);23% (7/30);0% (0/30);13% (4/30);17% (5/30);7% (2/30);0% (0/30);0% (0/30);20% (6/30);0% (1/30);3% (1/30);10% (3/30);0% (0/30);0% (0/30);24% (7/29);0% (0/29);38% (11/29);24% (7/29);0% (0/29);0% (0/29);0% (0/29);14% (4/29);0% (0/29);3% (1/30);0% (0/30);0% (0/30);13% (4/30);0% (0/30);30% (9/30);77% (23/30);43% (13/30);41% (12/29);21% (6/29);21% (6/29);14% (4/29);3% (1/29);59% (17/29);188;27;27 weeks;-;-;95% (19/20);9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33% (10/30);20% (6/30);-;-;*;*;*;*;*;*;*;*;*
RLY;NORTH STAFFORDSHIRE COMBINED HEALTHCARE NHS TRUST;146;146;100%;146;18;13;10% (15/146);19% (27/146);17% (25/146);20% (29/146);19% (28/146);15% (22/146);34% (50/146);65% (95/146);1% (1/146);0% (0/146);75% (109/146);0% (0/146);1% (1/146);1% (1/146);1% (1/146);16% (23/146);8% (11/146);4% (6/146);14% (20/146);0% (0/146);19% (27/146);1% (1/146);7% (10/146);3% (5/146);3% (5/146);2% (3/146);0% (0/146);47% (69/146);72% (105/146);0% (0/146);0% (0/146);2% (3/146);0% (0/146);0% (0/146);1% (1/146);1% (2/146);0% (0/146);24% (35/146);21% (31/146);19% (28/146);1% (2/146);0% (0/146);1% (1/146);79% (115/146);0% (0/146);3% (3/115);11% (13/115);3% (3/115);2% (2/115);0% (0/115);1% (1/115);1% (1/115);2% (2/115);0% (0/115);3% (3/115);4% (5/115);2% (3/146);0% (0/146);10% (14/146);1% (1/146);6% (9/146);20% (29/146);2% (3/146);1% (1/146);8% (11/146);11% (16/146);0% (1/146);1% (1/146);1% (2/146);38% (56/146);0% (0/146);4% (5/117);0% (0/117);23% (27/117);21% (25/117);11% (13/117);20% (23/117);0% (0/117);3% (3/117);18% (21/117);20% (29/146);0% (0/146);0% (0/146);16% (23/146);24% (35/146);47% (69/146);62% (90/146);79% (115/146);53% (56/105);12% (13/105);26% (27/105);9% (9/105);0% (0/105);47% (49/105);158;23;23 weeks;72% (13/18);22% (4/18);50% (22/44);5;56% (10/18);17% (3/18);35% (6/17);41% (7/17);67% (8/12);8% (1/12);25% (3/12);33% (4/12);17% (2/12);50% (6/12);63% (5/8);0% (0/8);38% (3/8);100% (1/1);0% (0/1);0% (0/1);83% (15/18);17% (3/18);83% (15/18);11% (2/18);83% (15/18);11% (2/18);83% (15/18);11% (2/18);83% (15/18);17% (3/18);71% (12/17);18% (3/17);50% (9/18);11.1% (2/18);72% (13/18);17% (3/18);83% (15/18);17% (3/18);83% (15/18);17% (3/18);83% (15/18);17% (3/18);72% (13/18);11% (2/18);17% (3/18);67% (12/18);34% (49/146);4% (6/146);67% (12/18);22% (4/18);77% (10/13);77% (10/13);90% (9/10);85% (11/13);8% (1/13);8% (1/13);0% (0/13);23% (3/13);77% (10/13)
RMY;NORFOLK AND SUFFOLK NHS FOUNDATION TRUST;379;192;51%;158;13;37;11% (18/158);15% (24/158);17% (26/158);17% (26/158);8% (13/158);32% (51/158);35% (56/158);65% (102/158);0% (0/158);0% (0/158);87% (137/158);1% (2/158);1% (1/158);0% (0/158);1% (2/158);10% (16/158);0% (0/158);2% (3/158);15% (23/158);1% (2/158);19% (30/158);2% (3/158);32% (50/158);1% (2/158);10% (16/158);2% (3/158);0% (0/158);17% (26/158);80% (126/158);1% (1/158);2% (3/158);3% (5/158);3% (5/158);0% (0/158);0% (0/158);1% (1/158);0% (0/158);11% (17/158);33% (52/158);30% (47/158);3% (5/158);0% (0/158);0% (0/158);67% (105/158);1% (1/158);7% (6/92);10% (9/92);9% (8/92);10% (9/92);0% (0/92);3% (3/92);0% (0/92);2% (2/92);1% (1/92);0% (0/92);9% (8/92);6% (10/158);0% (0/158);23% (36/158);1% (2/158);3% (5/158);23% (37/158);4% (7/158);0% (0/158);13% (21/158);6% (10/158);0% (1/158);1% (1/158);3% (4/158);10% (16/158);6% (9/158);14% (21/156);17% (26/156);23% (36/156);9% (14/156);17% (26/156);1% (1/156);0% (0/156);6% (10/156);14% (22/156);1% (2/158);0% (0/158);0% (0/158);10% (16/158);11% (17/158);17% (26/158);35% (55/158);67% (105/158);68% (102/150);12% (18/150);7% (11/150);7% (10/150);6% (9/150);32% (48/150);183;26;26 weeks;54% (7/13);31% (4/13);73% (43/59);8,6;39% (5/13);15% (2/13);46% (6/13);31% (4/13);55% (6/11);18% (2/11);27% (3/11);29% (2/7);14% (1/7);57% (4/7);0% (0/4);0% (0/4);100% (4/4);0% (0/0);0% (0/0);0% (0/0);92% (12/13);0% (0/13);85% (11/13);8% (1/13);46% (6/13);39% (5/13);92% (12/13);0% (0/13);85% (11/13);15% (2/13);69% (9/13);8% (1/13);85% (11/13);0% (0/13);69% (9/13);23% (3/13);77% (10/13);8% (1/13);69% (9/13);23% (3/13);62% (8/13);8% (1/13);46% (6/13);39% (5/13);15% (2/13);77% (10/13);30% (48/158);17% (26/158);77% (10/13);23% (3/13);87% (32/37);70% (26/37);96% (25/26);76% (28/37);16% (6/37);8% (3/37);0% (0/37);54% (20/37);54% (20/37)
RNK;TAVISTOCK AND PORTMAN NHS FOUNDATION TRUST;30;30;100%;30;7;27;7% (2/30);27% (8/30);37% (11/30);17% (5/30);10% (3/30);3% (1/30);33% (10/30);67% (20/30);0% (0/30);0% (0/30);60% (18/30);10% (3/30);3% (1/30);10% (3/30);10% (3/30);3% (1/30);3% (1/30);20% (6/30);17% (5/30);0% (0/30);23% (7/30);0% (0/30);7% (2/30);0% (0/30);30% (9/30);0% (0/30);0% (0/30);3% (1/30);77% (23/30);0% (0/30);0% (0/30);3% (1/30);0% (0/30);0% (0/30);0% (0/30);13% (4/30);0% (0/30);7% (2/30);73% (22/30);63% (19/30);3% (1/30);7% (2/30);0% (0/30);20% (6/30);7% (2/30);39% (5/13);62% (8/13);31% (4/13);39% (5/13);15% (2/13);0% (0/13);15% (2/13);8% (1/13);15% (2/13);8% (1/13);0% (0/13);0% (0/30);0% (0/30);17% (5/30);0% (0/30);7% (2/30);57% (17/30);0% (0/30);3% (1/30);10% (3/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);7% (2/30);0% (0/30);7% (2/30);10% (3/30);40% (12/30);10% (3/30);27% (8/30);0% (0/30);3% (1/30);0% (0/30);3% (1/30);0% (0/30);0% (0/30);0% (0/30);3% (1/30);7% (2/30);3% (1/30);7% (2/30);20% (6/30);21% (6/29);10% (3/29);45% (13/29);24% (7/29);0% (0/29);79% (23/29);264;38;38 weeks;29% (2/7);43% (3/7);38% (3/8);19,47;33% (2/6);50% (3/6);29% (2/7);57% (4/7);40% (2/5);40% (2/5);20% (1/5);50% (1/2);0% (0/2);50% (1/2);0% (0/2);100% (2/2);0% (0/2);0% (0/1);100% (1/1);0% (0/1);57% (4/7);43% (3/7);57% (4/7);29% (2/7);43% (3/7);29% (2/7);71% (5/7);29% (2/7);71% (5/7);29% (2/7);29% (2/7);43% (3/7);29% (2/7);42.9% (3/7);29% (2/7);43% (3/7);71% (5/7);29% (2/7);71% (5/7);29% (2/7);57% (4/7);29% (2/7);43% (3/7);57% (4/7);29% (2/7);71% (5/7);77% (23/30);53% (16/30);43% (3/7);29% (2/7);92% (24/26);48% (13/27);85% (11/13);19% (5/27);19% (5/27);59% (16/27);4% (1/27);11% (3/27);76% (19/25)
RNN;CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST;25;25;100%;25;0;22;16% (4/25);32% (8/25);32% (8/25);20% (5/25);0% (0/25);0% (0/25);48% (12/25);52% (13/25);0% (0/25);0% (0/25);100% (25/25);0% (0/25);0% (0/25);0% (0/25);0% (0/25);0% (0/25);0% (0/25);0% (0/25);56% (14/25);0% (0/25);20% (5/25);0% (0/25);0% (0/25);0% (0/25);12% (3/25);0% (0/25);0% (0/25);12% (3/25);92% (23/25);0% (0/25);0% (0/25);0% (0/25);0% (0/25);0% (0/25);0% (0/25);0% (0/25);0% (0/25);8% (2/25);96% (24/25);96% (24/25);0% (0/25);0% (0/25);0% (0/25);4% (1/25);0% (0/25);0% (0/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);0% (0/23);4% (1/23);0% (0/25);0% (0/25);20% (5/25);0% (0/25);8% (2/25);16% (4/25);20% (5/25);8% (2/25);12% (3/25);4% (1/25);4% (1/25);4% (1/25);0% (0/25);4% (1/25);0% (0/25);4% (1/25);16% (4/25);64% (16/25);4% (1/25);12% (3/25);0% (0/25);0% (0/25);0% (0/25);0% (0/25);0% (0/25);0% (0/25);0% (0/25);0% (0/25);8% (2/25);12% (3/25);88% (22/25);4% (1/25);11% (2/18);28% (5/18);39% (7/18);11% (2/18);11% (2/18);89% (16/18);346;49;49 weeks;-;-;75% (12/16);6,88;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;36% (9/25);12% (3/25);-;-;81% (17/21);82% (18/22);94% (17/18);36% (8/22);0% (0/22);64% (14/22);0% (0/22);55% (12/22);71% (15/21)
RNU;OXFORD HEALTH NHS FOUNDATION TRUST;60;60;100%;59;9;46;31% (18/59);20% (12/59);17% (10/59);15% (9/59);10% (6/59);7% (4/59);20% (12/59);80% (47/59);0% (0/59);0% (0/59);83% (49/59);2% (1/59);3% (2/59);0% (0/59);0% (0/59);10% (6/59);2% (1/59);2% (1/59);37% (22/59);0% (0/59);14% (8/59);0% (0/59);7% (4/59);7% (4/59);12% (7/59);3% (2/59);0% (0/59);19% (11/59);71% (42/59);0% (0/59);0% (0/59);2% (1/59);0% (0/59);0% (0/59);0% (0/59);5% (3/59);0% (0/59);22% (13/59);39% (23/59);36% (21/59);2% (1/59);2% (1/59);0% (0/59);58% (34/59);3% (2/59);12% (6/51);12% (6/51);4% (2/51);2% (1/51);2% (1/51);2% (1/51);0% (0/51);0% (0/51);0% (0/51);0% (0/51);6% (3/51);2% (1/59);0% (0/59);22% (13/59);0% (0/59);7% (4/59);12% (7/59);12% (7/59);0% (0/59);17% (10/59);9% (5/59);0% (0/59);0% (0/59);3% (2/59);12% (7/59);5% (3/59);35% (16/46);2% (1/46);22% (10/46);9% (4/46);26% (12/46);0% (0/46);0% (0/46);7% (3/46);0% (0/46);22% (13/59);0% (0/59);0% (0/59);10% (6/59);22% (13/59);19% (11/59);61% (36/59);58% (34/59);42% (25/59);12% (7/59);20% (12/59);22% (13/59);3% (2/59);58% (34/59);238;34;34 weeks;78% (7/9);22% (2/9);83% (24/29);13,97;56% (5/9);11% (1/9);44% (4/9);33% (3/9);71% (5/7);29% (2/7);0% (0/7);100% (8/8);0% (0/8);0% (0/8);0% (0/1);0% (0/1);100% (1/1);0% (0/0);0% (0/0);0% (0/0);100% (9/9);0% (0/9);100% (9/9);0% (0/9);89% (8/9);11% (1/9);100% (9/9);0% (0/9);100% (9/9);0% (0/9);100% (9/9);0% (0/9);86% (6/7);14.3% (1/7);67% (6/9);22% (2/9);89% (8/9);11% (1/9);89% (8/9);11% (1/9);89% (8/9);11% (1/9);89% (8/9);11% (1/9);0% (0/9);100% (9/9);78% (46/59);59% (35/59);89% (8/9);0% (0/9);84% (36/43);65% (30/46);83% (25/30);65% (30/46);11% (5/46);24% (11/46);0% (0/46);37% (17/46);58% (25/43)
RP7;LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST;30;30;100%;30;0;0;20% (6/30);37% (11/30);17% (5/30);7% (2/30);17% (5/30);3% (1/30);23% (7/30);77% (23/30);0% (0/30);0% (0/30);100% (30/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);7% (2/30);40% (12/30);7% (2/30);17% (5/30);0% (0/30);10% (3/30);7% (2/30);13% (4/30);0% (0/30);0% (0/30);0% (0/30);97% (29/30);0% (0/30);3% (1/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);100% (30/30);93% (28/30);3% (1/30);3% (1/30);0% (0/30);0% (0/30);0% (0/30);*;*;*;*;*;*;*;*;*;*;*;0% (0/30);0% (0/30);47% (14/30);3% (1/30);37% (11/30);0% (0/30);0% (0/30);3% (1/30);0% (0/30);0% (0/30);0% (1/30);3% (1/30);3% (1/30);3% (1/30);0% (0/30);37% (11/30);10% (3/30);43% (13/30);0% (0/30);0% (0/30);3% (1/30);0% (0/30);0% (0/30);7% (2/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);0% (0/30);100% (29/29);0% (0/29);0% (0/29);0% (0/29);0% (0/29);0% (0/29);19;3;3 weeks;-;-;30% (8/27);6,69;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;93% (27/29);70% (21/30);-;-;-;-;-;-;-;-;-;-;-
RPG;OXLEAS NHS FOUNDATION TRUST;419;222;53%;214;14;34;12% (25/214);19% (40/214);17% (37/214);23% (49/214);12% (25/214);18% (38/214);34% (73/214);65% (139/214);1% (1/214);1% (1/214);77% (164/214);3% (6/214);5% (11/214);4% (8/214);6% (12/214);6% (12/214);1% (1/214);2% (5/214);16% (35/214);1% (3/214);28% (60/214);6% (12/214);14% (29/214);2% (4/214);14% (30/214);1% (3/214);0% (0/214);15% (33/214);77% (165/214);0% (0/214);1% (3/214);4% (8/214);0% (0/214);3% (6/214);1% (3/214);1% (2/214);0% (0/214);13% (27/214);46% (98/214);45% (97/214);0% (0/214);1% (1/214);0% (0/214);54% (115/214);1% (1/214);63% (102/163);8% (13/163);1% (2/163);4% (6/163);1% (2/163);1% (1/163);0% (0/163);1% (1/163);0% (0/163);1% (1/163);6% (9/163);26% (56/214);0% (0/214);19% (40/214);0% (0/214);3% (6/214);13% (27/214);2% (5/214);2% (5/214);22% (46/214);3% (6/214);0% (0/214);0% (0/214);4% (9/214);4% (8/214);3% (6/214);11% (22/193);14% (27/193);14% (27/193);7% (13/193);18% (35/193);1% (1/193);2% (3/193);31% (60/193);3% (5/193);10% (21/214);0% (0/214);1% (1/214);6% (12/214);13% (27/214);15% (33/214);26% (55/214);54% (115/214);76% (135/177);10% (17/177);12% (21/177);2% (4/177);0% (0/177);24% (42/177);81;12;12 weeks;92% (11/12);8% (1/12);60% (37/62);8,23;75% (9/12);17% (2/12);57% (8/14);7% (1/14);67% (6/9);22% (2/9);11% (1/9);67% (4/6);17% (1/6);17% (1/6);0% (0/1);0% (0/1);100% (1/1);0% (0/1);100% (1/1);0% (0/1);100% (14/14);0% (0/14);100% (13/13);0% (0/13);77% (10/13);15% (2/13);100% (14/14);0% (0/14);100% (14/14);0% (0/14);92% (12/13);0% (0/13);93% (13/14);0% (0/14);86% (12/14);7% (1/14);93% (13/14);7% (1/14);93% (13/14);7% (1/14);93% (13/14);7% (1/14);86% (12/14);7% (1/14);14% (2/14);71% (10/14);44% (94/213);20% (43/214);75% (9/12);0% (0/12);82% (28/34);56% (19/34);84% (16/19);41% (14/34);6% (2/34);44% (15/34);9% (3/34);38% (13/34);50% (17/34)
RQY;SOUTH WEST LONDON AND ST GEORGE'S MENTAL HEALTH NHS TRUST;168;103;61%;100;30;14;15% (15/100);17% (17/100);15% (15/100);23% (23/100);10% (10/100);20% (20/100);24% (24/100);75% (75/100);1% (1/100);0% (0/100);69% (69/100);5% (5/100);6% (6/100);6% (6/100);13% (13/100);1% (1/100);0% (0/100);2% (2/100);15% (15/100);6% (6/100);22% (22/100);0% (0/100);22% (22/100);9% (9/100);12% (12/100);3% (3/100);0% (0/100);9% (9/100);88% (88/100);0% (0/100);1% (1/100);3% (3/100);3% (3/100);0% (0/100);0% (0/100);1% (1/100);0% (0/100);4% (4/100);60% (60/100);57% (57/100);2% (2/100);0% (0/100);1% (1/100);40% (40/100);0% (0/100);9% (4/43);16% (7/43);21% (9/43);12% (5/43);2% (1/43);0% (0/43);2% (1/43);2% (1/43);0% (0/43);0% (0/43);2% (1/43);10% (10/100);1% (1/100);35% (35/100);0% (0/100);3% (3/100);18% (18/100);1% (1/100);0% (0/100);22% (22/100);3% (3/100);0% (0/100);0% (0/100);3% (3/100);4% (4/100);0% (0/100);19% (19/99);14% (14/99);23% (23/99);5% (5/99);24% (24/99);0% (0/99);0% (0/99);14% (14/99);0% (0/99);1% (1/100);0% (0/100);0% (0/100);1% (1/100);4% (4/100);9% (9/100);20% (20/100);40% (40/100);68% (65/95);12% (11/95);18% (17/95);2% (2/95);0% (0/95);32% (30/95);114;16;16 weeks;63% (17/27);22% (6/27);81% (34/42);17,48;68% (19/28);21% (6/28);39% (11/28);36% (10/28);59% (13/22);9% (2/22);32% (7/22);38% (6/16);6% (1/16);56% (9/16);17% (2/12);17% (2/12);67% (8/12);50% (1/2);0% (0/2);50% (1/2);79% (23/29);17% (5/29);82% (23/28);7% (2/28);68% (19/28);25% (7/28);87% (26/30);7% (2/30);80% (24/30);13% (4/30);79% (22/28);14% (4/28);61% (17/28);21.4% (6/28);72% (21/29);14% (4/29);90% (26/29);10% (3/29);86% (25/29);10% (3/29);83% (24/29);14% (4/29);66% (19/29);24% (7/29);24% (7/29);72% (21/29);39% (38/98);30% (30/100);75% (21/28);25% (7/28);86% (12/14);79% (11/14);91% (10/11);50% (7/14);7% (1/14);43% (6/14);0% (0/14);36% (5/14);71% (10/14)
RRE;MIDLANDS PARTNERSHIP NHS FOUNDATION TRUST;60;43;72%;43;0;11;19% (8/43);26% (11/43);21% (9/43);26% (11/43);9% (4/43);0% (0/43);35% (15/43);65% (28/43);0% (0/43);0% (0/43);93% (40/43);0% (0/43);0% (0/43);0% (0/43);0% (0/43);7% (3/43);0% (0/43);7% (3/43);16% (7/43);5% (2/43);42% (18/43);2% (1/43);0% (0/43);5% (2/43);5% (2/43);0% (0/43);0% (0/43);19% (8/43);86% (37/43);0% (0/43);0% (0/43);0% (0/43);0% (0/43);0% (0/43);0% (0/43);0% (0/43);0% (0/43);14% (6/43);63% (27/43);63% (27/43);0% (0/43);0% (0/43);0% (0/43);37% (16/43);0% (0/43);39% (10/26);27% (7/26);4% (1/26);0% (0/26);12% (3/26);0% (0/26);0% (0/26);0% (0/26);8% (2/26);0% (0/26);8% (2/26);0% (0/43);0% (0/43);12% (5/43);0% (0/43);2% (1/43);14% (6/43);7% (3/43);0% (0/43);12% (5/43);30% (13/43);2% (0/43);0% (0/43);2% (1/43);19% (8/43);0% (0/43);19% (7/37);11% (4/37);24% (9/37);19% (7/37);14% (5/37);0% (0/37);0% (0/37);11% (4/37);3% (1/37);14% (6/43);0% (0/43);0% (0/43);7% (3/43);14% (6/43);19% (8/43);26% (11/43);37% (16/43);74% (28/38);8% (3/38);11% (4/38);8% (3/38);0% (0/38);26% (10/38);107;15;15 weeks;-;-;50% (11/22);13,02;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;47% (20/43);37% (16/43);-;-;100% (11/11);82% (9/11);89% (8/9);27% (3/11);9% (1/11);64% (7/11);0% (0/11);73% (8/11);64% (7/11)
